project,donor,amount
"Educación Integral y técnica de jóvenes y adolescentes de zonas rurales vulnerables, dirigida a potenciar las vocaciones productivas de la zona andina. ",Educación Sin Fronteras,30982
Ganando la partida al mal de Chagas en Sacaba,"Beneficiarios, Socios, Comunidades, etc",38667
Ganando la partida al mal de Chagas en Sacaba,Agencia Catalana de Cooperación al Desarrollo,120000
Mejora del Acceso a la Energía en las Comunidades Rurales de Bolivia,Agencia Española de Cooperación Internacional,221930
Mejora del Acceso a la Energía en las Comunidades Rurales de Bolivia,Gobierno de Navarra,50862
Mejora del Acceso a la Energía en las Comunidades Rurales de Bolivia,Asociación Catalana de Ingeniería Sin Fronteras,5143
Plan Director de infraestructuras saneamiento y abastecimiento de agua en comunidades rurales del Municipio de Pocona,Agencia Española de Cooperación Internacional,305000
Plan Director de infraestructuras saneamiento y abastecimiento de agua en comunidades rurales del Municipio de Pocona,Agencia de Cooperación de las Islas Baleares,125271
Apoyo y la promoción de la producción campesina familiar y comunitaria en Bolivia,Ayuntamiento de Irún,8600
Apoyo y la promoción de la producción campesina familiar y comunitaria en Bolivia,Ayuntamiento de Rentería,15000
Mejora de la producción de la ganadería sostenible comunitaria en la TCO Parapitiguasu,Centro de Investigación y Promoción del Campesinado,60458
Fortalecimiento del Pueblo Guaraní para la implementación de las Autonomías Indígenas. ,Ayuntamiento de Ordizia,7315
Fortalecimiento del Pueblo Guaraní para la implementación de las Autonomías Indígenas. ,Ayuntamiento de Irún,19590
Fortalecimiento del Pueblo Guaraní para la implementación de las Autonomías Indígenas. ,Ayuntamiento de Pamplona,28000
Liderazgos realizan Control Social de los Derechos Humanos de las Mujeres,Agencia Vasca de Cooperación al Desarrollo,244042
Liderazgos realizan Control Social de los Derechos Humanos de las Mujeres,Ayuntamiento de Getxo,29800
Liderazgos realizan Control Social de los Derechos Humanos de las Mujeres,Ayuntamiento de Donostia (San Sebastián),30000
Construcción Escuela Tacara,Ayuda en Acción,24575
Gestión comunitaria para la prevención de desastres naturales y efectos adversos del cambio climático en comunidades campesinas andinas de la Provincia Azurduy,Agencia Española de Cooperación Internacional,126303
"Fortalecimiento de capacidades locales con un enfoque en reducción de riesgos ante desastres naturales en municipios y comunidades indígenas y campesinas del chaco chuquisaqueño, Bolivia",Gobierno de Asturias,835200
"Heñói - Incrementando la resiliencia local frente a la sequía en el Chaco Boliviano, construyendo a partir de estrategias exitosas",Ayuda en Acción,77420
"Heñói - Incrementando la resiliencia local frente a la sequía en el Chaco Boliviano, construyendo a partir de estrategias exitosas",Unión Europea,2274253
Desarrollo territorial en el ADT Cotagaita,Ayuda en Acción,178083
"Muros de Contención y Recuperación de Tierras de Cultivo, 3ª fase",Ayuntamiento de Málaga,223984
Construcción de Centros Escolares en la Ribera del Río Tapacarí,Agencia Andaluza de Cooperación Internacional al Desarrollo,354438
"Muros de Contención y Recuperación de Tierras de Cultivo, 4ª fase ",Agencia Andaluza de Cooperación Internacional al Desarrollo,263496
"Centro de Salud, 2 Fase. Equipamiento y Atención Sanitaria",Diputación de Granada,90227
Apoyo al Centro de Recursos de Milloma ,Asociación Andaluza por la Solidaridad y la Paz,6643
"Mejoramiento Agrícola Integral Sapanani,  Fase II",Agencia Andaluza de Cooperación Internacional al Desarrollo,378750
Apoyo a los Centros Escolares en la Ribera del rio Tapacarí ,Asociación por la Dignidad e Igualdad de Oportunidades,7438
Apoyo al Centro de Recursos de Milloma ,Asociación por la Dignidad e Igualdad de Oportunidades,3353
"Construcción de escuela atemperada en la comunidad Coniri, Municipio de Viacha",Ayuda en Acción,53266
"Construcción de escuela atemperada en la comunidad Coniri, Municipio de Viacha",Centro de Investigación y Promoción del Campesinado,12700
"Construcción de escuela atemperada en la comunidad Coniri, Municipio de Viacha",Ayuntamiento de Bilbao,27237
Construcción de la Unidad Educativa La Fragua,Ayuda en Acción,18162
Construcción de la Unidad Educativa La Fragua,Ayuntamiento de Terrassa,34018
Gestión comunitaria para la prevención de desastres naturales y efectos adversos del cambio climático en comunidades campesinas andinas de la Provincia Azurduy,Ayuda en Acción,292826
"Fortalecimiento de capacidades locales con un enfoque en reducción de riesgos ante desastres naturales en municipios y comunidades indígenas y campesinas del chaco chuquisaqueño, Bolivia",Ayuda en Acción,96000
Fortalecer las capacidades locales para afrontar las amenazas de inundación en la base del Río Grande en Santa Cruz (Bolivia),Unión Europea,370000
"Fortalecimiento de las capacidades comunitarias e institucionales para hacer frente a desastres de origen natural en la Cuenca Baja del Río Grande, Departamento de Santa Cruz-Bolivia",Agencia Española de Cooperación Internacional,99986
Ayuda humanitaria a poblaciones afectadas por inundaciones en la Cuenca Baja del Río Grande (Bolivia) ,Agencia Española de Cooperación Internacional,368600
"Reducción de la vulnerabilidad de familias en situación de pobreza y con alto riesgo de sufrir inundaciones, por medio de una adaptación sostenible de sus medios de vida al entorno natural de la Cuenca Baja del Río Grande",Gobierno de Navarra,102000
Proyecto integral de mejora de la seguridad alimentaria y nutricional de grupos de población en extrema vulnerabilidad del Departamento de Santa Cruz (Bolivia) ,Agencia Española de Cooperación Internacional,300000
Reducción del Impacto de las sequías e inundaciones en los municipios y las comunidades guaranías del Chaco al fortalecer las capacidades locales de prevención y respuesta,Unión Europea,370000
"Reducción de la incidencia de la pobreza e inseguridad alimentaria en comunidades rurales del Chaco y Altiplano, a través del apoyo a iniciativas de aprovechamiento sostenible de los recursos productivos locales y de generación de ingresos económicos",Gobierno de Navarra,180000
Geñói - Desarrollando estrategias de éxito para incrementar la resiliencia a la sequía en el Chaco Boliviano,Unión Europea,687250
Programa de Desarrollo Socioeconómico en Chaco Boliviano,Obra Social La Caixa,500000
"Empoderamiento  socioeconómico de  las mujeres  guaraníes en situación de extrema pobreza, a través de la consolidación del proceso de fortalecimiento de organizaciones de mujeres indígenas",Gobierno de Navarra,85000
"Empoderamiento  socioeconómico de  las mujeres  guaraníes en situación de extrema pobreza, a través de la consolidación del proceso de fortalecimiento de organizaciones de mujeres indígenas",Embajada de Polonia,9000
Proyecto de Disminución de forma sostenible de la incidencia de enfermedades diarreicas y parasitosis entre los habitantes de comunidades indígenas guaranís caracterizadas por una alta vulnerabilidad socioeconómica y ambiental,Gobierno de Navarra,151000
"Ayuda Humanitaria de emergencia y recuperación de medios de vida de familias damnificadas por la extrema sequía de 2009-2010 en la Región del Chaco, Bolivia",Svalorna Latinoamérica (Institución Sueca),373294
Dotación de agua Segura y Distribución y capacitación en el uso de los suministros WASH de emergencias,Fondoa de Naciones Unidas para la Infancia,5950
"Mejora del estado de salud de guaraníes menores de cinco años mediante la reducción de la prevalencia de la desnutrición en sus diferentes formas, así como de enfermedades de transmisión feco-oral",Ayuntamiento de Pamplona,34000
Fortalecimiento de las capacidades comunitarias e institucionales para hacer frente a desastres de origen natural en el Chaco,Agencia Española de Cooperación Internacional,200000
Ayuda Humanitaria a través de emergencia y asistencia a desastres en comunidades del Chaco,Unión Europea,370000
Evaluación Nutricional y de Seguridad Alimentaria en el Chaco Boliviano,Fondoa de Naciones Unidas para la Infancia,29000
