name,description,start_date,end_date,date_provided,date_updated,sector,organization,regions
Fortalecimiento de las capacidades en género de la organización local CEDESCO - Bolivia,"La iniciativa del proyecto nace como respuesta a la necesidad, identificada durante la elaboración del Plan Estratégico 2007–2012 de CEDESCO, de contar con una política institucional de género definida y su posterior aplicación en las acciones de desarrollo de CEDESCO, en coordinación con las organizaciones sociales y los gobiernos municipales. Parte, además, de un análisis realizado anteriormente sobre la equidad de género al interior de la organización.",2007-08-01,2008-03-31,2012-06-06,,Género en Desarrollo, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Tiquipaya
Fortalecimiento de la participación política de las mujeres indígenas-campesinas en el desarrollo local de tres municipios quechuas de Bolivia.,"El proyecto tuvo el propósito de potenciar la capacidad política de las mujeres indígenas–campesinas pertenecientes a organizaciones sociales de mujeres y/o mixtas en los municipios de Villa Tunari (Cochabamba), Caracollo (Oruro) y Tacobamba (Potosí), para su participación efectiva en el desarrollo local de sus municipios",2007-01-01,2008-09-30,2012-06-06,,Género en Desarrollo, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,Tacobamba|Villa Tunari|Caracollo
Noticiero Intercultural: Herramientas de Comunicación Audiovisual para la participación Ciudadana y el Diálogo Intercultural,"La acción fundamental es la constitución de 2 Centros de Formación y Recursos de Comunicación Intercultural (CFRCI), a cargo de las organizaciones CEDIB (Cochabamba) y Wayna Tambo (El Alto), donde se desarrollan actuaciones dirigidas al fortalecimiento de la sociedad civil y al diálogo intercultural a través de la comunicación social orientada al mutuo conocimiento y cooperación entre comunidades, prioritariamente indígenas. ",2007-02-01,2008-02-28,2012-06-07,2012-06-07,Gobernabilidad Democrática, Asociación para la Cooperación con el SUR - ACSUR-LAS SEGOVIAS,El Alto|Cochabamba
Desarrollo Integral Agropecuario de Comunidades Indígenas con Enfoque de Género,"El proyecto pretende lograr un incremento del 25% en la Renta Familiar de los beneficiarios al mismo tiempo que procura el empoderamiento de la mujer en los ámbitos de decisión familiares, sociales y productivos.",2010-09-01,2014-09-30,2012-06-11,,Desarrollo Rural y Hambre, Asociación para el Desarrollo Social y Cultural ZABALKETA,Mecapaca
Empoderamiento Político y Económico de las Comunidades Campesinas de los Valles Cruceños,Mejorar las capacidades de gestión del desarrollo comunal de campesinos y campesinas cabezas de hogar de los Valles Cruceños,2009-12-01,2012-12-31,2012-06-11,2012-06-11,Desarrollo Rural y Hambre, Asociación para el Desarrollo Social y Cultural ZABALKETA,Santa Cruz
Fortalecimiento de las organizaciones forestales comunitarias en las comunidades indígenas chiquitanas de la tco - monte verde,"Comunidades chiquitanas mejoran sus capacidades técnicas de gestión forestal, para ejecutar sus operaciones  de manera eficiente, garantizando el aprovechamiento sostenible y la rentabilidad  de las OFC",2011-08-01,2012-03-31,2012-06-11,2012-06-11,Crecimiento Económico, Asociación para el Desarrollo Social y Cultural ZABALKETA,Concepción
Mujeres en Acción (Fase IV),"Empoderamiento de las mujeres campesinas de la región de Los Cintis, mediante una estrategia dirigida por un lado a generar competencias y por otro a resolver dificultades operativas, que permita el impulso de su participación igualitaria en los niveles locales de decisión política y social y el ejercicio efectivo de los derechos humanos",2011-03-01,2013-03-31,2012-06-11,2012-06-11,Género en Desarrollo, Asociación para el Desarrollo Social y Cultural ZABALKETA,Culpina|Camargo
Ayuda Humanitaria a la Población Guaraní desplazada en Bolivia,"Un grupo de familias indígenas Guaraníes acaban de ser desplazadas por el conflicto existente por el acceso a la tierra y la erradicación del sistema de empatronamiento y semiesclavitud. La organización indígena ha conseguido que el Estado Boliviano expropie y conceda a esta un predio de tierra para que constituyan en ella una nueva Comunidad con las familias desplazadas. El proyecto de Ayuda Humanitaria contribuirá a generar condiciones esenciales (vivienda, acceso al agua, educación y seguridad alimentaria) para que las familias desplazadas a la nueva comunidad, y las comunidades aledañas inicien su vida en libertad",2011-07-01,2012-06-30,2012-06-11,2012-06-11,Gobernabilidad Democrática, Asociación para el Desarrollo Social y Cultural ZABALKETA,Huacareca
Fortalecimiento a Organizaciones de Mujeres y Hombres Jóvenes Líderes Indígenas en la Chiquitanía (Fase II),"Consolidar las Secretarias de Juventud en las Centrales Indígenas Chiquitanas impulsando su   participación activa en el desarrollo comunal y organizacional.

El proyecto pretende en esta segunda etapa consolidar la creación de las secretarías de la juventud dentro de la estructura orgánica de sus centrales (u organizaciones indígenas). Sólo de esta manera los y las jóvenes podrán lograr su participación activa y formal en su desarrollo y en el de sus comunidades",2012-03-01,2012-09-30,2012-06-11,,Gobernabilidad Democrática, Asociación para el Desarrollo Social y Cultural ZABALKETA,San Antonio de Lomerío|San Javier|Concepción|San José de Chiquitos|San Rafael|Robore
Modelo Campesino de Adaptación al Cambio Ciclo-Hidrológico,os efectos locales del cambio climático global están suponiendo para las Comunidades Campesinas de los Valles Cruceños un aumento significativo de sus condiciones de pobreza  y de su vulnerabilidad para afrontar sus consecuencias,2012-02-01,2014-01-31,2012-06-11,,Agua y Saneamiento, Asociación para el Desarrollo Social y Cultural ZABALKETA,Pampa Grande|Pucará
"Mujeres jóvenes y adolescentes reconocen, ejercen y difunden sus derechos sexuales y reproductivos en el altiplano Boliviano",El presente proyecto pretende contribuir a promover el reconocimiento y ejercicio de los derechos sexuales y reproductivos de las mujeres adolescentes y jóvenes de 4 distritos del municipio de El Alto y el municipio de Chulumani en Bolivia enfatizando en la incorporación del enfoque intercultural. ,2011-12-01,2013-05-30,2012-06-29,,Género en Desarrollo,Solidaridad Internacional,Chulumani|El Alto
Los Derechos Sexuales y los Derechos Reproductivos (DSDR) en los Estatutos Autonómicos Departamentales (EAD) y Cartas Autonómicas Municipales (COM) de Bolivia.,,2011-03-01,2012-03-31,2012-06-29,2012-06-29,Género en Desarrollo,Solidaridad Internacional,La Paz|Sucre|Santa Cruz|Oruro
"Construcción de escuela atemperada en la comunidad Coniri, Municipio de Viacha",,2011-07-01,2012-01-31,2012-09-28,2012-10-22,Educación,Ayuda en Acción,Viacha
Construcción de la Unidad Educativa La Fragua,,2011-07-01,2012-04-30,2012-09-28,2012-10-22,Educación,Ayuda en Acción,Comarapa
Construcción Escuela Tacara,,2011-07-01,2012-03-31,2012-09-28,2012-10-22,Educación,Ayuda en Acción,Caiza D|Cotagaita
Gestión comunitaria para la prevención de desastres naturales y efectos adversos del cambio climático en comunidades campesinas andinas de la Provincia Azurduy,,2011-10-01,2013-09-30,2012-09-28,2012-10-22,Sostenibilidad Ambiental,Ayuda en Acción,Tarvita|Azurduy
"Fortalecimiento de capacidades locales con un enfoque en reducción de riesgos ante desastres naturales en municipios y comunidades indígenas y campesinas del chaco chuquisaqueño, Bolivia",,2011-10-01,2012-09-30,2012-09-28,2012-10-22,Sostenibilidad Ambiental,Ayuda en Acción,Huacaya|Villa Vaca Guzmán
"Heñói - Incrementando la resiliencia local frente a la sequía en el Chaco Boliviano, construyendo a partir de estrategias exitosas",,2011-08-01,2012-12-31,2012-09-28,2012-10-22,Sostenibilidad Ambiental,Ayuda en Acción,Huacaya|Huacareca|Muyupampa
Desarrollo territorial en el ADT Cotagaita,,2012-01-01,2012-12-31,2012-09-28,2012-10-22,Gobernabilidad Democrática,Ayuda en Acción,Cotagaita
Agora Bolivia-Capacitación e inserción laboral para personas ciegas,,2012-08-15,2014-12-31,2012-10-03,,Educación,Cáritas,La Paz|Tarija|Santa Cruz
Sostenibilidad de la Pastoral Penitenciaria en Bolivia II,,2012-01-01,2012-12-31,2012-10-03,,Educación,Cáritas,Riberalta|La Paz|El Alto|Oruro|Potosí|Sucre|Cochabamba|Tarija|Santa Cruz|Trinidad|Yacuíba|Guayamerín|Cobija
Seguridad Alimentaria en el área rural de Puna y Ckochas del departamento de Potosí,,2012-10-01,2014-10-01,2012-10-03,2012-10-03,Desarrollo Rural y Hambre,Cáritas,Puna
Consolidando el desarrollo económico de los productores de la provincia de OConor (Tarija),,2010-05-15,2013-05-15,2012-10-03,,Crecimiento Económico,Cáritas,Entre Ríos
Mejorando los sistemas productivos locales en comuniddes de los municipios de el Choro y Huayllamarca.,,2010-09-01,2012-02-01,2012-10-03,2012-10-03,Crecimiento Económico,Cáritas,Huayllamarca|El Choro
Ganando la partida al mal de Chagas en Sacaba,Fortalecer los mecanismos públicos y privados de control y prevención de la enfermedad de Chagas bajo responsabilidad de las organizaciones comunitarias (organizaciones de mujeres y sindicatos campesinos) a través de los Puestos de Información del Vector (PIVS comunitarios y escolares) e instancias estatales como el programa oficial de Chagas en todo el cordón epidemiológico,2008-12-01,2009-11-30,2012-10-08,2012-10-08,Educación,Educación Sin Fronteras,Sacaba
Plan Director de infraestructuras saneamiento y abastecimiento de agua en comunidades rurales del Municipio de Pocona,,2012-02-29,2014-03-01,2012-10-08,2012-10-08,Agua y Saneamiento,Asociación Catalana de Ingeniería Sin Fronteras,Pocona
Liderazgos realizan Control Social de los Derechos Humanos de las Mujeres,,2010-12-31,2012-12-30,2012-10-10,,Género en Desarrollo,Fundación Mundubat,Santa Cruz|La Paz|Cochabamba|Sucre
"Muros de Contención y Recuperación de Tierras de Cultivo, 3ª fase",,2007-02-01,2008-08-31,2012-10-23,2012-10-23,Desarrollo Rural y Hambre,Asociación Andaluza por la Solidaridad y la Paz,Sipe Sipe|Tapacarí
Construcción de Centros Escolares en la Ribera del Río Tapacarí,,2007-04-01,2008-04-01,2012-10-23,2012-10-23,Educación,Asociación Andaluza por la Solidaridad y la Paz,Sipe Sipe|Tapacarí
"Muros de Contención y Recuperación de Tierras de Cultivo, 4ª fase ",,2008-01-01,2009-01-31,2012-10-23,,Desarrollo Rural y Hambre,Asociación Andaluza por la Solidaridad y la Paz,Sipe Sipe|Tapacarí
Apoyo al Centro de Recursos de Milloma ,,2010-07-01,2010-12-31,2012-10-23,,Educación,Asociación Andaluza por la Solidaridad y la Paz,Tapacarí|Sipe Sipe
"Mejoramiento Agrícola Integral Sapanani,  Fase II",,2011-07-01,2012-06-30,2012-10-23,,Desarrollo Rural y Hambre,Asociación Andaluza por la Solidaridad y la Paz,Sacaba
Fortalecer las capacidades locales para afrontar las amenazas de inundación en la base del Río Grande en Santa Cruz (Bolivia),,2007-09-15,2008-12-15,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,San Julian|Okinawa|Warnes|Pailón|Cuatro Cañadas
"Fortalecimiento de las capacidades comunitarias e institucionales para hacer frente a desastres de origen natural en la Cuenca Baja del Río Grande, Departamento de Santa Cruz-Bolivia",,2007-12-15,2008-12-15,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Okinawa|San Julian|El Puente|General Saavedra
Ayuda humanitaria a poblaciones afectadas por inundaciones en la Cuenca Baja del Río Grande (Bolivia) ,,2008-02-15,2008-02-15,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Pailón|San Julian|Cuatro Cañadas
"Reducción de la vulnerabilidad de familias en situación de pobreza y con alto riesgo de sufrir inundaciones, por medio de una adaptación sostenible de sus medios de vida al entorno natural de la Cuenca Baja del Río Grande",,2008-08-15,2009-03-31,2012-10-29,2012-10-29,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Pailón|Cuatro Cañadas|San Julian|El Puente
Proyecto integral de mejora de la seguridad alimentaria y nutricional de grupos de población en extrema vulnerabilidad del Departamento de Santa Cruz (Bolivia) ,,2008-12-15,2009-12-15,2012-10-29,,Desarrollo Rural y Hambre,Acción contra el Hambre - Misión Paraguay-Bolivia,Gutiérrez|Lagunillas
Proyecto de Disminución de forma sostenible de la incidencia de enfermedades diarreicas y parasitosis entre los habitantes de comunidades indígenas guaranís caracterizadas por una alta vulnerabilidad socioeconómica y ambiental,,2009-08-01,2000-12-31,2012-10-29,2012-10-29,Salud,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Cabezas|Gutiérrez
Reducción del Impacto de las sequías e inundaciones en los municipios y las comunidades guaranías del Chaco al fortalecer las capacidades locales de prevención y respuesta,,2009-05-15,2010-08-15,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Gutiérrez|Cabezas
"Mejora del estado de salud de guaraníes menores de cinco años mediante la reducción de la prevalencia de la desnutrición en sus diferentes formas, así como de enfermedades de transmisión feco-oral",,2010-02-01,2010-08-01,2012-10-29,,Salud,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Cabezas|Gutiérrez
"Reducción de la incidencia de la pobreza e inseguridad alimentaria en comunidades rurales del Chaco y Altiplano, a través del apoyo a iniciativas de aprovechamiento sostenible de los recursos productivos locales y de generación de ingresos económicos",,2010-08-01,2011-07-15,2012-10-29,2012-10-29,Desarrollo Rural y Hambre,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Cabezas|Gutiérrez
Fortalecimiento de las capacidades comunitarias e institucionales para hacer frente a desastres de origen natural en el Chaco,,2009-09-01,2011-01-05,2012-10-29,2012-10-29,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Camiri|Cuevo|Boyuibe|Charagua|Lagunillas|Gutiérrez|Cabezas|La Paz
Ayuda Humanitaria a través de emergencia y asistencia a desastres en comunidades del Chaco,,2010-11-01,2011-08-31,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Gutiérrez|Cuevo|Boyuibe|Charagua|Cabezas
"Ayuda Humanitaria de emergencia y recuperación de medios de vida de familias damnificadas por la extrema sequía de 2009-2010 en la Región del Chaco, Bolivia",,2010-12-01,2011-06-30,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Gutiérrez|Cuevo|Boyuibe|Charagua|Cabezas
Dotación de agua Segura y Distribución y capacitación en el uso de los suministros WASH de emergencias,,2011-01-01,2011-12-31,2012-10-29,,Salud,Acción contra el Hambre - Misión Paraguay-Bolivia,Macharetí
Geñói - Desarrollando estrategias de éxito para incrementar la resiliencia a la sequía en el Chaco Boliviano,,2011-01-01,2012-12-31,2012-10-29,,Sostenibilidad Ambiental,Acción contra el Hambre - Misión Paraguay-Bolivia,Charagua|Boyuibe|Gutiérrez|Cuevo|Huacareca|Huacaya|Villa Vaca Guzmán|Caraparí|Entre Ríos|Yacuíba|Villa Montes
Programa de Desarrollo Socioeconómico en Chaco Boliviano,,2011-01-01,2013-12-31,2012-10-29,2012-10-29,Desarrollo Rural y Hambre,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Gutiérrez
"Empoderamiento  socioeconómico de  las mujeres  guaraníes en situación de extrema pobreza, a través de la consolidación del proceso de fortalecimiento de organizaciones de mujeres indígenas",,2012-01-01,2012-12-31,2012-10-29,,Desarrollo Rural y Hambre,Acción contra el Hambre - Misión Paraguay-Bolivia,Lagunillas|Gutiérrez
